"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17433","test1","chromium","2026-04-28","passed","2026-04-28","","reports.spec.js","",""
"","16896","test2","chromium","2026-04-28","passed","2026-04-28","","reports.spec.js","",""
"","9618","test3","chromium","2026-04-28","passed","2026-04-28","","reports.spec.js","",""
